Zeit,pO2 [%],Temperatur [°C],pH-Wert,Rührerdrehzahl [rpm],Timestamp,Minuten nach Start
15/8/23 16:34,94.93,30.0198,6.2566,170,0,0
15/8/23 16:49,97.67,25.9036,6.0708,170,0,15
15/8/23 17:04,98.63,25.5179,6.0708,170,1,30
15/8/23 17:19,97.89,25.3893,6.0974,170,1,45
15/8/23 17:34,99.26,25.2608,6.0841,170,1,60
15/8/23 17:49,99.79,25.1322,6.0841,170,1,75
15/8/23 18:04,99.47,25.0679,6.0974,170,2,90
15/8/23 18:19,99.79,25.0679,6.0974,170,2,105
15/8/23 18:34,100.11,25.0037,6.0974,170,2,120
15/8/23 18:49,99.47,25.0037,6.0974,170,2,135
15/8/23 19:04,100.63,25.0037,6.1239,170,3,150
15/8/23 19:19,100.32,24.9394,6.0974,170,3,165
15/8/23 19:34,99.89,24.9394,6.0841,170,3,180
15/8/23 19:49,100.42,25.0037,6.0841,170,3,195
15/8/23 20:04,100.21,25.0037,6.0974,170,4,210
15/8/23 20:19,99.89,25.0679,6.0974,170,4,225
15/8/23 20:34,99.89,25.0679,6.0974,170,4,240
15/8/23 20:49,99.79,25.0679,6.1106,170,4,255
15/8/23 21:04,99.79,25.1322,6.1239,170,5,270
15/8/23 21:19,99.89,25.1322,6.1372,170,5,285
15/8/23 21:34,99.58,25.1322,6.1239,170,5,300
15/8/23 21:49,99.15,25.1322,6.1372,170,5,315
15/8/23 22:04,99.47,25.0679,6.1504,170,6,330
15/8/23 22:19,99.58,25.0037,6.1504,170,6,345
15/8/23 22:34,99.47,25.0037,6.1504,170,6,360
15/8/23 22:49,99.47,25.0037,6.1504,170,6,375
15/8/23 23:04,98.63,25.0037,6.1637,170,7,390
15/8/23 23:19,99.15,24.9394,6.1637,170,7,405
15/8/23 23:34,99.15,24.9394,6.177,170,7,420
15/8/23 23:49,98.63,24.9394,6.1637,170,7,435
16/8/23 0:04,98.73,24.8751,6.177,170,8,450
16/8/23 0:19,98.52,24.8751,6.1903,170,8,465
16/8/23 0:34,99.15,24.8108,6.1903,170,8,480
16/8/23 0:49,98.41,24.8108,6.1903,170,8,495
16/8/23 1:04,98.2,24.7465,6.1903,170,9,510
16/8/23 1:19,98.63,24.7465,6.2035,170,9,525
16/8/23 1:34,98.1,24.7465,6.2035,170,9,540
16/8/23 1:49,98.1,24.6823,6.2035,170,9,555
16/8/23 2:04,98.63,24.6823,6.2035,170,10,570
16/8/23 2:19,97.67,24.618,6.2168,170,10,585
16/8/23 2:34,98.1,24.618,6.2168,170,10,600
16/8/23 2:49,97.89,24.618,6.2168,170,10,615
16/8/23 3:04,97.04,24.5537,6.2301,170,11,630
16/8/23 3:19,96.93,24.4894,6.2301,170,11,645
16/8/23 3:34,96.83,24.4894,6.2566,170,11,660
16/8/23 3:49,96.41,24.4894,6.2566,170,11,675
16/8/23 4:04,96.19,24.4252,6.2566,170,12,690
16/8/23 4:19,96.41,24.4252,6.2699,170,12,705
16/8/23 4:34,95.56,24.3609,6.2699,170,12,720
16/8/23 4:49,94.82,24.3609,6.2699,170,12,735
16/8/23 5:04,95.03,24.3609,6.2699,170,13,750
16/8/23 5:19,94.29,24.2966,6.2965,170,13,765
16/8/23 5:34,93.45,24.2966,6.2965,170,13,780
16/8/23 5:49,93.97,24.2966,6.3097,170,13,795
16/8/23 6:04,93.34,24.2324,6.3097,170,14,810
16/8/23 6:19,92.28,24.2324,6.3097,170,14,825
16/8/23 6:34,91.97,24.2324,6.323,170,14,840
16/8/23 6:49,91.23,24.1681,6.3496,170,14,855
16/8/23 7:04,90.17,24.0396,6.3628,170,15,870
16/8/23 7:19,90.06,23.911,6.3761,170,15,885
16/8/23 7:34,90.06,23.7825,6.4027,170,15,900
16/8/23 7:49,88.58,23.654,6.4159,170,15,915
16/8/23 8:04,87.53,23.5897,6.4027,170,16,930
16/8/23 8:19,86.79,23.654,6.4027,170,16,945
16/8/23 8:34,85.2,23.7182,6.4159,170,16,960
16/8/23 8:49,84.99,23.7182,6.4159,170,16,975
16/8/23 9:04,83.93,23.7825,6.4159,170,17,990
16/8/23 9:19,83.51,23.7825,6.4027,170,17,1005
16/8/23 9:34,82.03,23.8468,6.4159,170,17,1020
16/8/23 9:49,81.4,23.8468,6.3894,170,17,1035
16/8/23 10:04,80.87,23.8468,6.3894,170,18,1050
16/8/23 10:19,79.92,23.8468,6.3894,170,18,1065
16/8/23 10:34,78.96,23.911,6.3894,170,18,1080
16/8/23 10:49,76.85,23.911,6.3628,170,18,1095
16/8/23 11:04,76.43,23.911,6.3496,170,19,1110
16/8/23 11:19,75.79,23.911,6.3496,170,19,1125
16/8/23 11:34,73.78,23.9753,6.323,170,19,1140
16/8/23 11:49,73.04,23.9753,6.3363,170,19,1155
16/8/23 12:04,71.67,23.9753,6.3097,170,20,1170
16/8/23 12:19,70.19,23.9753,6.2832,170,20,1185
16/8/23 12:34,69.34,24.0396,6.2699,170,20,1200
16/8/23 12:49,67.34,24.1038,6.2832,170,20,1215
16/8/23 13:04,66.38,24.2324,6.2434,170,21,1230
16/8/23 13:19,66.38,24.1681,6.2168,170,21,1245
16/8/23 13:34,64.06,24.2966,6.2035,170,21,1260
16/8/23 13:49,62.69,24.3609,6.177,170,21,1275
16/8/23 14:04,60.99,24.4252,6.1372,170,22,1290
16/8/23 14:19,59.41,24.5537,6.1239,170,22,1305
16/8/23 14:34,59.2,24.4894,6.0708,170,22,1320
16/8/23 14:49,58.35,24.4894,6.031,170,22,1335
16/8/23 15:04,58.35,24.4252,5.9912,170,23,1350
16/8/23 15:19,58.03,24.3609,5.9513,170,23,1365
16/8/23 15:34,55.5,24.3609,5.9115,170,23,1380
16/8/23 15:49,55.18,24.2966,5.8717,170,23,1395
16/8/23 16:04,53.28,24.2324,5.8319,170,24,1410
16/8/23 16:19,51.8,24.2324,5.7788,170,24,1425
16/8/23 16:34,52.54,24.1681,5.7522,170,24,1440
16/8/23 16:49,50.32,24.1681,5.7257,170,24,1455
16/8/23 17:04,51.06,24.1681,5.6726,170,25,1470
16/8/23 17:19,50,24.1038,5.6593,170,25,1485
16/8/23 17:34,49.47,24.1038,5.6195,170,25,1500
16/8/23 17:49,50,24.1038,5.5664,170,25,1515
16/8/23 18:04,48.52,24.1038,5.5664,170,26,1530
16/8/23 18:19,49.05,24.1038,5.5133,170,26,1545
16/8/23 18:34,49.68,24.0396,5.4867,170,26,1560
16/8/23 18:49,47.36,24.0396,5.4602,170,26,1575
16/8/23 19:04,48.63,24.0396,5.4204,170,27,1590
16/8/23 19:19,47.99,24.1038,5.4071,170,27,1605
16/8/23 19:34,48.52,24.0396,5.3938,170,27,1620
16/8/23 19:49,48.41,24.0396,5.354,170,27,1635
16/8/23 20:04,47.15,24.0396,5.3274,170,28,1650
16/8/23 20:19,47.67,24.0396,5.3142,170,28,1665
16/8/23 20:34,48.63,24.0396,5.2876,170,28,1680
16/8/23 20:49,47.25,24.0396,5.2743,170,28,1695
16/8/23 21:04,47.67,24.0396,5.2478,170,29,1710
16/8/23 21:19,48.73,23.9753,5.2478,170,29,1725
16/8/23 21:34,47.89,23.9753,5.208,170,29,1740
16/8/23 21:49,48.31,23.9753,5.1947,170,29,1755
16/8/23 22:04,47.89,23.9753,5.1549,170,30,1770
16/8/23 22:19,46.62,23.9753,5.1549,170,30,1785
16/8/23 22:34,46.62,24.0396,5.1416,170,30,1800
16/8/23 22:49,47.46,24.0396,5.1416,170,30,1815
16/8/23 23:04,45.45,23.9753,5.1416,170,31,1830
16/8/23 23:19,46.3,23.9753,5.1416,170,31,1845
16/8/23 23:34,46.51,23.911,5.1416,170,31,1860
16/8/23 23:49,45.88,23.911,5.1283,170,31,1875
17/8/23 0:04,45.14,23.911,5.1283,170,32,1890
17/8/23 0:19,45.14,23.911,5.1416,170,32,1905
